54404.294922 r 16.876 0.010
54404.295756 i 16.748 0.012
54404.296589 u 18.368 0.019
54404.297422 z 16.720 0.015
54404.298256 g 17.206 0.012
54405.292858 r 16.750 0.013
54405.293691 i 16.701 0.010
54405.295358 z 16.678 0.018
54405.296191 g 16.968 0.018
54406.231151 r 16.870 0.019
54406.231984 i 16.765 0.012
54406.232818 u 18.337 0.021
54406.233651 z 16.724 0.017
54406.234484 g 17.217 0.017
54412.234147 r 17.025 0.019
54412.235813 u 18.476 0.029
